aux1,true,1509204466,1509204750,284,4,44
1,true,1509201027,1509201070,43,0,43
2a,true,1509202542,1509202583,41,0,41
2b,true,1509202583,1509202692,109,1,49
2c,true,1509202692,1509202704,12,0,12
3a,true,1509202704,1509203136,168,2,48
3b,true,1509203136,1509203173,37,0,37
3c,true,1509203173,1509203211,38,0,38
3d,true,1509203211,1509203245,34,0,34
3e,true,1509203245,1509203278,33,0,33
3f,true,1509203278,1509203311,33,0,33
4,true,1509203311,1509203698,387,6,27
5,true,1509203698,1509204140,442,7,22
6,true,1509204140,1509204182,42,0,42
7,true,1509204182,1509204286,104,1,44
8,true,1509204286,1509204403,117,1,57
9,true,1509204403,1509204466,63,1,3
10,true,1509201070,1509201118,48,0,48
11,true,1509201118,1509201465,347,5,47
12,true,1509201465,1509201496,31,0,31
13,true,1509201496,1509202020,524,8,44
14,true,1509202020,1509202133,113,1,53
15,true,1509202133,1509202250,117,1,57
16,true,1509202250,1509202287,37,0,37
17,true,1509202287,1509202405,118,1,58
18,true,1509202405,1509202542,137,2,17
